Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor 24,Reactor,157.7,2.4,126.5
Mixer 8,Mixer,187.4,1.6,62.4
Column 6,Column,298.2,2.1,94.4
Heat Exchanger 16,Heat Exchanger,197.2,1.8,84.6
Reactor 25,Reactor,154.7,2.4,123.8
Heat Exchanger 17,Heat Exchanger,178.8,1.8,83.5
Heat Exchanger 18,Heat Exchanger,194.9,1.9,84.5
Compressor 9,Compressor,269.0,4.3,108.8
Column 7,Column,276.2,2.0,98.4
Mixer 9,Mixer,190.3,1.6,57.8
Pump 13,Pump,167.9,3.4,41.8
Reactor 26,Reactor,156.0,2.5,123.4
Compressor 10,Compressor,264.4,4.4,111.4
Compressor 11,Compressor,237.2,4.1,118.7
Pump 14,Pump,176.5,3.3,38.9
Compressor 12,Compressor,228.4,4.5,115.4
Pump 15,Pump,169.2,3.4,36.7
Pump 16,Pump,166.6,3.6,40.5
Pump 17,Pump,172.6,3.4,40.3
Reactor 27,Reactor,153.4,2.2,122.7
Reactor 28,Reactor,158.0,2.4,117.1
Reactor 29,Reactor,154.4,2.3,118.5
Column 8,Column,307.5,2.2,94.4
Heat Exchanger 19,Heat Exchanger,209.1,1.8,82.6
Pump 18,Pump,166.7,3.3,38.7
Separator 10,Separator,204.6,2.8,75.2
Heat Exchanger 20,Heat Exchanger,179.9,1.8,83.9
Pump 19,Pump,173.9,3.6,40.4
Compressor 13,Compressor,242.2,4.0,113.7
Heat Exchanger 21,Heat Exchanger,191.6,1.8,89.6
Reactor 30,Reactor,153.2,2.3,114.2
Heat Exchanger 22,Heat Exchanger,201.0,1.8,83.8
Reactor 31,Reactor,161.8,2.3,123.1
Separator 11,Separator,237.2,2.5,72.0
Mixer 10,Mixer,172.5,1.5,60.2
Column 9,Column,284.3,2.0,92.1
Mixer 11,Mixer,177.5,1.5,63.0
Mixer 12,Mixer,190.2,1.5,57.7
Reactor 32,Reactor,155.2,2.5,126.7
Mixer 13,Mixer,176.7,1.6,59.1
Pump 20,Pump,165.3,3.6,37.8
Mixer 14,Mixer,163.4,1.6,60.4
Mixer 15,Mixer,181.9,1.5,59.6
Heat Exchanger 23,Heat Exchanger,192.2,1.8,82.8
Reactor 33,Reactor,152.5,2.3,120.6
Heat Exchanger 24,Heat Exchanger,178.4,1.9,84.7
Pump 21,Pump,169.5,3.4,39.7
Mixer 16,Mixer,174.2,1.5,61.9
Mixer 17,Mixer,182.6,1.7,65.2
Reactor 34,Reactor,161.5,2.3,120.6
Pump 22,Pump,162.9,3.4,36.1
Pump 23,Pump,166.8,3.4,37.5
Heat Exchanger 25,Heat Exchanger,200.6,1.8,84.4
Reactor 35,Reactor,174.0,2.2,122.2
Heat Exchanger 26,Heat Exchanger,192.5,1.8,85.6
Separator 12,Separator,232.6,2.9,72.3
Heat Exchanger 27,Heat Exchanger,211.6,1.7,81.2
Pump 24,Pump,171.4,3.4,39.9
Compressor 14,Compressor,269.8,4.2,111.1
Heat Exchanger 28,Heat Exchanger,191.3,1.9,83.0
Separator 13,Separator,216.9,2.9,78.9
Separator 14,Separator,196.1,2.9,74.0
Heat Exchanger 29,Heat Exchanger,201.6,1.8,87.0
Pump 25,Pump,165.2,3.1,40.6
Heat Exchanger 30,Heat Exchanger,189.6,1.7,83.8
Heat Exchanger 31,Heat Exchanger,193.6,1.9,86.0
Reactor 36,Reactor,155.9,2.3,123.9
Column 10,Column,302.7,2.2,91.6
Pump 26,Pump,167.2,3.5,40.8
Reactor 37,Reactor,161.7,2.4,120.9
Heat Exchanger 32,Heat Exchanger,198.0,1.8,81.7
Separator 15,Separator,237.0,2.9,73.7
Heat Exchanger 33,Heat Exchanger,200.8,1.9,82.6
Reactor 38,Reactor,152.4,2.3,126.5
Pump 27,Pump,177.2,3.6,40.6
Separator 16,Separator,202.4,2.8,71.0
Heat Exchanger 34,Heat Exchanger,191.8,1.9,85.8
Column 11,Column,286.8,1.9,96.7
Compressor 15,Compressor,283.0,4.2,110.8
Heat Exchanger 35,Heat Exchanger,207.2,1.9,84.3
Compressor 16,Compressor,255.5,4.3,104.2
Heat Exchanger 36,Heat Exchanger,186.2,2.0,84.2
Column 12,Column,301.7,2.1,99.5
Column 13,Column,338.3,2.2,93.0
Pump 28,Pump,169.2,3.6,38.6
Reactor 39,Reactor,161.0,2.2,121.9
Mixer 18,Mixer,186.4,1.6,57.8
Heat Exchanger 37,Heat Exchanger,185.2,1.8,81.0
Reactor 40,Reactor,154.2,2.3,117.6
Reactor 41,Reactor,160.7,2.3,127.0
Pump 29,Pump,156.7,3.3,40.0
Column 14,Column,288.2,2.1,95.8
Reactor 42,Reactor,156.3,2.3,123.3
Pump 30,Pump,164.5,3.5,39.2
Heat Exchanger 38,Heat Exchanger,196.3,2.0,81.0
Column 15,Column,321.0,1.8,85.8
