Equipment Name,Type,Flowrate,Pressure,Temperature
Separator K4,Separator,222.8,2.7,75.9
Cooler L4,Cooler,199.4,2.0,28.5
Filter M4,Filter,156.2,2.5,62.2
Separator N4,Separator,239.6,3.0,75.6
Pump O4,Pump,183.3,3.6,39.2
Cooler P4,Cooler,204.9,2.0,28.8
Heat Exchanger Q4,Heat Exchanger,194.1,1.5,76.8
Dryer R4,Dryer,177.3,2.1,99.8
Dryer S4,Dryer,166.2,1.8,112.4
Mixer T4,Mixer,183.1,1.7,69.7
Compressor U4,Compressor,236.7,4.7,118.8
Column V4,Column,302.2,2.5,97.8
Dryer W4,Dryer,161.5,1.8,114.9
Mixer X4,Mixer,187.5,1.8,55.7
Cooler Y4,Cooler,223.5,2.2,31.8
Compressor Z5,Compressor,246.1,4.0,112.0
Cooler A5,Cooler,201.9,1.9,30.4
Column B5,Column,319.4,2.3,98.0
Reactor C5,Reactor,152.3,2.5,119.1
Pump D5,Pump,184.7,3.9,42.3
Dryer E5,Dryer,167.5,2.3,112.3
Compressor F5,Compressor,236.1,4.2,117.2
Reactor G5,Reactor,151.3,2.6,120.9
Reactor H5,Reactor,165.1,2.4,121.2
Reactor I5,Reactor,140.4,2.1,125.4
Compressor J5,Compressor,275.0,4.8,113.3
Compressor K5,Compressor,264.0,4.6,110.7
Compressor L5,Compressor,253.0,3.9,119.3
Column M5,Column,289.1,2.3,99.3
Filter N5,Filter,145.7,2.6,57.1
Pump O5,Pump,175.6,3.9,40.5
Compressor P5,Compressor,238.5,4.6,113.8
Separator Q5,Separator,232.7,2.9,80.6
Pump R5,Pump,187.1,3.6,44.8
Heat Exchanger S5,Heat Exchanger,197.7,1.8,81.6
Heat Exchanger T5,Heat Exchanger,190.4,1.9,86.8
Separator U5,Separator,225.7,3.0,81.9
Cooler V5,Cooler,222.8,2.0,28.9
Filter W5,Filter,146.4,2.7,55.2
Pump X5,Pump,176.1,3.5,40.8
Mixer Y5,Mixer,190.9,1.4,65.4
Dryer Z6,Dryer,181.9,2.0,108.4
Heat Exchanger A6,Heat Exchanger,198.1,1.7,87.3
Heat Exchanger B6,Heat Exchanger,188.4,1.6,76.3
Reactor C6,Reactor,156.0,2.3,128.4
Reactor D6,Reactor,155.1,2.6,115.6
Dryer E6,Dryer,169.4,2.2,105.2
Reactor F6,Reactor,148.3,2.6,126.2
Column G6,Column,288.4,2.1,97.3
Cooler H6,Cooler,217.8,2.0,35.8
Cooler I6,Cooler,196.1,1.9,35.7
Separator J6,Separator,225.4,2.9,71.6
Cooler K6,Cooler,205.6,1.9,26.6
Separator L6,Separator,221.3,2.5,74.8
Separator M6,Separator,212.7,2.9,73.5
Column N6,Column,299.0,2.0,99.7
Heat Exchanger O6,Heat Exchanger,182.6,1.9,83.8
Filter P6,Filter,162.6,2.7,55.7
Compressor Q6,Compressor,249.5,4.4,113.6
Filter R6,Filter,159.9,2.5,64.0
Compressor S6,Compressor,239.1,4.0,108.7
